LineId,Line,Panel,ShiftLabel,LineShiftLabel,Lane,Rejects,RatePct,UclPct,OOC,NInspected,OOCColor,ShiftIdx,PBar
ngp2,NGP2,Nozzle,Night 07-08,ngp2|Night 07-08,6,12,0.26,1.264,0,4589,#ffffff,1,0.428
ngp2,NGP2,Nozzle,Night 07-08,ngp2|Night 07-08,7,10,0.22,1.288,0,4589,#ffffff,1,0.399
ngp2,NGP2,Nozzle,Night 07-08,ngp2|Night 07-08,8,10,0.22,1.266,0,4589,#ffffff,1,0.403
ngp2,NGP2,Nozzle,Night 07-08,ngp2|Night 07-08,9,12,0.26,2.535,0,4589,#ffffff,1,0.795
ngp2,NGP2,Nozzle,Night 07-08,ngp2|Night 07-08,10,12,0.26,1.255,0,4589,#ffffff,1,0.402
ngp2,NGP2,Nozzle,Day 07-09,ngp2|Day 07-09,1,10,0.43,8.511,0,2320,#ffffff,2,2.367
ngp2,NGP2,Nozzle,Day 07-09,ngp2|Day 07-09,2,8,0.34,3.329,0,2320,#ffffff,2,1.015
ngp2,NGP2,Nozzle,Day 07-09,ngp2|Day 07-09,3,7,0.3,2.37,0,2320,#ffffff,2,0.706
ngp2,NGP2,Nozzle,Day 07-09,ngp2|Day 07-09,4,6,0.26,1.697,0,2320,#ffffff,2,0.488
ngp2,NGP2,Nozzle,Day 07-09,ngp2|Day 07-09,5,24,1.03,2.105,0,2320,#ffffff,2,0.563
ngp2,NGP2,Nozzle,Day 07-09,ngp2|Day 07-09,6,3,0.13,1.604,0,2320,#ffffff,2,0.428
ngp2,NGP2,Nozzle,Day 07-09,ngp2|Day 07-09,7,3,0.13,1.649,0,2320,#ffffff,2,0.399
ngp2,NGP2,Nozzle,Day 07-09,ngp2|Day 07-09,8,3,0.13,1.617,0,2320,#ffffff,2,0.403
ngp2,NGP2,Nozzle,Day 07-09,ngp2|Day 07-09,9,3,0.13,3.242,0,2320,#ffffff,2,0.795
ngp2,NGP2,Nozzle,Day 07-09,ngp2|Day 07-09,10,3,0.13,1.602,0,2320,#ffffff,2,0.402
ngp2,NGP2,Nozzle,Night 07-09,ngp2|Night 07-09,1,31,1.27,8.349,0,2448,#ffffff,3,2.367
ngp2,NGP2,Nozzle,Night 07-09,ngp2|Night 07-09,2,22,0.9,3.268,0,2448,#ffffff,3,1.015
ngp2,NGP2,Nozzle,Night 07-09,ngp2|Night 07-09,3,19,0.78,2.326,0,2448,#ffffff,3,0.706
ngp2,NGP2,Nozzle,Night 07-09,ngp2|Night 07-09,4,19,0.78,1.665,0,2448,#ffffff,3,0.488
ngp2,NGP2,Nozzle,Night 07-09,ngp2|Night 07-09,5,18,0.74,2.064,0,2448,#ffffff,3,0.563
ngp2,NGP2,Nozzle,Night 07-09,ngp2|Night 07-09,6,16,0.65,1.573,0,2448,#ffffff,3,0.428
ngp2,NGP2,Nozzle,Night 07-09,ngp2|Night 07-09,7,14,0.57,1.616,0,2448,#ffffff,3,0.399
ngp2,NGP2,Nozzle,Night 07-09,ngp2|Night 07-09,8,18,0.74,1.585,0,2448,#ffffff,3,0.403
ngp2,NGP2,Nozzle,Night 07-09,ngp2|Night 07-09,9,19,0.78,3.178,0,2448,#ffffff,3,0.795
ngp2,NGP2,Nozzle,Night 07-09,ngp2|Night 07-09,10,16,0.65,1.57,0,2448,#ffffff,3,0.402
ngp2,NGP2,Nozzle,Day 07-10,ngp2|Day 07-10,1,37,1.45,8.216,0,2560,#ffffff,4,2.367
ngp2,NGP2,Nozzle,Day 07-10,ngp2|Day 07-10,2,19,0.74,3.218,0,2560,#ffffff,4,1.015
ngp2,NGP2,Nozzle,Day 07-10,ngp2|Day 07-10,3,15,0.59,2.29,0,2560,#ffffff,4,0.706
ngp2,NGP2,Nozzle,Day 07-10,ngp2|Day 07-10,4,14,0.55,1.639,0,2560,#ffffff,4,0.488
ngp2,NGP2,Nozzle,Day 07-10,ngp2|Day 07-10,5,11,0.43,2.03,0,2560,#ffffff,4,0.563
ngp2,NGP2,Nozzle,Day 07-10,ngp2|Day 07-10,6,12,0.47,1.548,0,2560,#ffffff,4,0.428
ngp2,NGP2,Nozzle,Day 07-10,ngp2|Day 07-10,7,12,0.47,1.589,0,2560,#ffffff,4,0.399
ngp2,NGP2,Nozzle,Day 07-10,ngp2|Day 07-10,8,12,0.47,1.559,0,2560,#ffffff,4,0.403
ngp2,NGP2,Nozzle,Day 07-10,ngp2|Day 07-10,9,14,0.55,3.125,0,2560,#ffffff,4,0.795
ngp2,NGP2,Nozzle,Day 07-10,ngp2|Day 07-10,10,14,0.55,1.544,0,2560,#ffffff,4,0.402
ngp2,NGP2,Nozzle,Night 07-10,ngp2|Night 07-10,1,36,0.99,7.285,0,3621,#ffffff,5,2.367
ngp2,NGP2,Nozzle,Night 07-10,ngp2|Night 07-10,2,18,0.5,2.867,0,3621,#ffffff,5,1.015
ngp2,NGP2,Nozzle,Night 07-10,ngp2|Night 07-10,3,12,0.33,2.038,0,3621,#ffffff,5,0.706
ngp2,NGP2,Nozzle,Night 07-10,ngp2|Night 07-10,4,20,0.55,1.456,0,3621,#ffffff,5,0.488
ngp2,NGP2,Nozzle,Night 07-10,ngp2|Night 07-10,5,35,0.97,1.797,0,3621,#ffffff,5,0.563
ngp2,NGP2,Nozzle,Night 07-10,ngp2|Night 07-10,6,12,0.33,1.37,0,3621,#ffffff,5,0.428
ngp2,NGP2,Nozzle,Night 07-10,ngp2|Night 07-10,7,11,0.3,1.4,0,3621,#ffffff,5,0.399
ngp2,NGP2,Nozzle,Night 07-10,ngp2|Night 07-10,8,12,0.33,1.375,0,3621,#ffffff,5,0.403
ngp2,NGP2,Nozzle,Night 07-10,ngp2|Night 07-10,9,18,0.5,2.754,0,3621,#ffffff,5,0.795
ngp2,NGP2,Nozzle,Night 07-10,ngp2|Night 07-10,10,16,0.44,1.363,0,3621,#ffffff,5,0.402
ngp2,NGP2,Nozzle,Day 07-11,ngp2|Day 07-11,1,78,1.3,6.188,0,5998,#ffffff,6,2.367
ngp2,NGP2,Nozzle,Day 07-11,ngp2|Day 07-11,2,20,0.33,2.454,0,5998,#ffffff,6,1.015
ngp2,NGP2,Nozzle,Day 07-11,ngp2|Day 07-11,3,17,0.28,1.741,0,5998,#ffffff,6,0.706
ngp2,NGP2,Nozzle,Day 07-11,ngp2|Day 07-11,4,17,0.28,1.24,0,5998,#ffffff,6,0.488
ngp2,NGP2,Nozzle,Day 07-11,ngp2|Day 07-11,5,16,0.27,1.522,0,5998,#ffffff,6,0.563
ngp2,NGP2,Nozzle,Day 07-11,ngp2|Day 07-11,6,15,0.25,1.159,0,5998,#ffffff,6,0.428
ngp2,NGP2,Nozzle,Day 07-11,ngp2|Day 07-11,7,15,0.25,1.176,0,5998,#ffffff,6,0.399
ngp2,NGP2,Nozzle,Day 07-11,ngp2|Day 07-11,8,16,0.27,1.158,0,5998,#ffffff,6,0.403
ngp2,NGP2,Nozzle,Day 07-11,ngp2|Day 07-11,9,19,0.32,2.317,0,5998,#ffffff,6,0.795
ngp2,NGP2,Nozzle,Day 07-11,ngp2|Day 07-11,10,14,0.23,1.148,0,5998,#ffffff,6,0.402
ngp2,NGP2,Nozzle,Night 07-11,ngp2|Night 07-11,1,67,2.08,7.585,0,3218,#ffffff,7,2.367
ngp2,NGP2,Nozzle,Night 07-11,ngp2|Night 07-11,2,19,0.59,2.98,0,3218,#ffffff,7,1.015
ngp2,NGP2,Nozzle,Night 07-11,ngp2|Night 07-11,3,18,0.56,2.119,0,3218,#ffffff,7,0.706
ngp2,NGP2,Nozzle,Night 07-11,ngp2|Night 07-11,4,20,0.62,1.515,0,3218,#ffffff,7,0.488
ngp2,NGP2,Nozzle,Night 07-11,ngp2|Night 07-11,5,16,0.5,1.872,0,3218,#ffffff,7,0.563
ngp2,NGP2,Nozzle,Night 07-11,ngp2|Night 07-11,6,14,0.44,1.427,0,3218,#ffffff,7,0.428
ngp2,NGP2,Nozzle,Night 07-11,ngp2|Night 07-11,7,14,0.44,1.461,0,3218,#ffffff,7,0.399
ngp2,NGP2,Nozzle,Night 07-11,ngp2|Night 07-11,8,14,0.44,1.434,0,3218,#ffffff,7,0.403
ngp2,NGP2,Nozzle,Night 07-11,ngp2|Night 07-11,9,22,0.68,2.873,0,3218,#ffffff,7,0.795
ngp2,NGP2,Nozzle,Night 07-11,ngp2|Night 07-11,10,15,0.47,1.421,0,3218,#ffffff,7,0.402
ngp2,NGP2,Nozzle,Day 07-12,ngp2|Day 07-12,1,76,0.86,5.518,0,8819,#ffffff,8,2.367
ngp2,NGP2,Nozzle,Day 07-12,ngp2|Day 07-12,2,25,0.28,2.202,0,8819,#ffffff,8,1.015
ngp2,NGP2,Nozzle,Day 07-12,ngp2|Day 07-12,3,21,0.24,1.559,0,8819,#ffffff,8,0.706
ngp2,NGP2,Nozzle,Day 07-12,ngp2|Day 07-12,4,20,0.23,1.108,0,8819,#ffffff,8,0.488
ngp2,NGP2,Nozzle,Day 07-12,ngp2|Day 07-12,5,21,0.24,1.354,0,8819,#ffffff,8,0.563
ngp2,NGP2,Nozzle,Day 07-12,ngp2|Day 07-12,6,22,0.25,1.031,0,8819,#ffffff,8,0.428
ngp2,NGP2,Nozzle,Day 07-12,ngp2|Day 07-12,7,20,0.23,1.04,0,8819,#ffffff,8,0.399
ngp2,NGP2,Nozzle,Day 07-12,ngp2|Day 07-12,8,20,0.23,1.026,0,8819,#ffffff,8,0.403
ngp2,NGP2,Nozzle,Day 07-12,ngp2|Day 07-12,9,20,0.23,2.05,0,8819,#ffffff,8,0.795
ngp2,NGP2,Nozzle,Day 07-12,ngp2|Day 07-12,10,21,0.24,1.018,0,8819,#ffffff,8,0.402
ngp2,NGP2,Nozzle,Night 07-12,ngp2|Night 07-12,1,50,1.33,7.189,0,3768,#ffffff,9,2.367
ngp2,NGP2,Nozzle,Night 07-12,ngp2|Night 07-12,2,16,0.42,2.831,0,3768,#ffffff,9,1.015
ngp2,NGP2,Nozzle,Night 07-12,ngp2|Night 07-12,3,15,0.4,2.012,0,3768,#ffffff,9,0.706
ngp2,NGP2,Nozzle,Night 07-12,ngp2|Night 07-12,4,12,0.32,1.437,0,3768,#ffffff,9,0.488
ngp2,NGP2,Nozzle,Night 07-12,ngp2|Night 07-12,5,12,0.32,1.773,0,3768,#ffffff,9,0.563
ngp2,NGP2,Nozzle,Night 07-12,ngp2|Night 07-12,6,12,0.32,1.351,0,3768,#ffffff,9,0.428
ngp2,NGP2,Nozzle,Night 07-12,ngp2|Night 07-12,7,13,0.35,1.38,0,3768,#ffffff,9,0.399
ngp2,NGP2,Nozzle,Night 07-12,ngp2|Night 07-12,8,11,0.29,1.356,0,3768,#ffffff,9,0.403
ngp2,NGP2,Nozzle,Night 07-12,ngp2|Night 07-12,9,13,0.35,2.716,0,3768,#ffffff,9,0.795
ngp2,NGP2,Nozzle,Night 07-12,ngp2|Night 07-12,10,11,0.29,1.344,0,3768,#ffffff,9,0.402
ngp2,NGP2,Nozzle,Day 07-13,ngp2|Day 07-13,1,10,0.41,8.369,0,2432,#ffffff,10,2.367
ngp2,NGP2,Nozzle,Day 07-13,ngp2|Day 07-13,2,10,0.41,3.276,0,2432,#ffffff,10,1.015
ngp2,NGP2,Nozzle,Day 07-13,ngp2|Day 07-13,3,10,0.41,2.331,0,2432,#ffffff,10,0.706
ngp2,NGP2,Nozzle,Day 07-13,ngp2|Day 07-13,4,10,0.41,1.669,0,2432,#ffffff,10,0.488
ngp2,NGP2,Nozzle,Day 07-13,ngp2|Day 07-13,5,66,2.71,2.069,1,2432,#e17055,10,0.563
ngp2,NGP2,Nozzle,Day 07-13,ngp2|Day 07-13,6,10,0.41,1.577,0,2432,#ffffff,10,0.428
ngp2,NGP2,Nozzle,Day 07-13,ngp2|Day 07-13,7,10,0.41,1.62,0,2432,#ffffff,10,0.399
ngp2,NGP2,Nozzle,Day 07-13,ngp2|Day 07-13,8,10,0.41,1.589,0,2432,#ffffff,10,0.403
ngp2,NGP2,Nozzle,Day 07-13,ngp2|Day 07-13,9,10,0.41,3.186,0,2432,#ffffff,10,0.795
ngp2,NGP2,Nozzle,Day 07-13,ngp2|Day 07-13,10,9,0.37,1.574,0,2432,#ffffff,10,0.402
ngp2,NGP2,Nozzle,Night 07-13,ngp2|Night 07-13,1,252,5.39,6.694,0,4678,#ffffff,11,2.367
ngp2,NGP2,Nozzle,Night 07-13,ngp2|Night 07-13,2,11,0.24,2.645,0,4678,#ffffff,11,1.015
ngp2,NGP2,Nozzle,Night 07-13,ngp2|Night 07-13,3,11,0.24,1.878,0,4678,#ffffff,11,0.706
ngp2,NGP2,Nozzle,Night 07-13,ngp2|Night 07-13,4,11,0.24,1.34,0,4678,#ffffff,11,0.488
ngp2,NGP2,Nozzle,Night 07-13,ngp2|Night 07-13,5,15,0.32,1.649,0,4678,#ffffff,11,0.563
ngp2,NGP2,Nozzle,Night 07-13,ngp2|Night 07-13,6,11,0.24,1.256,0,4678,#ffffff,11,0.428
ngp2,NGP2,Nozzle,Night 07-13,ngp2|Night 07-13,7,11,0.24,1.279,0,4678,#ffffff,11,0.399
ngp2,NGP2,Nozzle,Night 07-13,ngp2|Night 07-13,8,11,0.24,1.258,0,4678,#ffffff,11,0.403
ngp2,NGP2,Nozzle,Night 07-13,ngp2|Night 07-13,9,17,0.36,2.519,0,4678,#ffffff,11,0.795
ngp2,NGP2,Nozzle,Night 07-13,ngp2|Night 07-13,10,11,0.24,1.247,0,4678,#ffffff,11,0.402
ngp2,NGP2,Nozzle,Day 07-14,ngp2|Day 07-14,1,56,2.19,8.223,0,2554,#ffffff,12,2.367
ngp2,NGP2,Nozzle,Day 07-14,ngp2|Day 07-14,2,12,0.47,3.221,0,2554,#ffffff,12,1.015
ngp2,NGP2,Nozzle,Day 07-14,ngp2|Day 07-14,3,12,0.47,2.292,0,2554,#ffffff,12,0.706
ngp2,NGP2,Nozzle,Day 07-14,ngp2|Day 07-14,4,12,0.47,1.64,0,2554,#ffffff,12,0.488
ngp2,NGP2,Nozzle,Day 07-14,ngp2|Day 07-14,5,37,1.45,2.032,0,2554,#ffffff,12,0.563
ngp2,NGP2,Nozzle,Day 07-14,ngp2|Day 07-14,6,12,0.47,1.549,0,2554,#ffffff,12,0.428
ngp2,NGP2,Nozzle,Day 07-14,ngp2|Day 07-14,7,13,0.51,1.591,0,2554,#ffffff,12,0.399
ngp2,NGP2,Nozzle,Day 07-14,ngp2|Day 07-14,8,11,0.43,1.56,0,2554,#ffffff,12,0.403
ngp2,NGP2,Nozzle,Day 07-14,ngp2|Day 07-14,9,14,0.55,3.128,0,2554,#ffffff,12,0.795
ngp2,NGP2,Nozzle,Day 07-14,ngp2|Day 07-14,10,12,0.47,1.546,0,2554,#ffffff,12,0.402
ngp2,NGP2,Nozzle,Night 07-14,ngp2|Night 07-14,1,24,0.52,6.712,0,4639,#ffffff,13,2.367
ngp2,NGP2,Nozzle,Night 07-14,ngp2|Night 07-14,2,24,0.52,2.652,0,4639,#ffffff,13,1.015
ngp2,NGP2,Nozzle,Night 07-14,ngp2|Night 07-14,3,24,0.52,1.882,0,4639,#ffffff,13,0.706
ngp2,NGP2,Nozzle,Night 07-14,ngp2|Night 07-14,4,23,0.5,1.343,0,4639,#ffffff,13,0.488
ngp2,NGP2,Nozzle,Night 07-14,ngp2|Night 07-14,5,23,0.5,1.653,0,4639,#ffffff,13,0.563
ngp2,NGP2,Nozzle,Night 07-14,ngp2|Night 07-14,6,23,0.5,1.26,0,4639,#ffffff,13,0.428
ngp2,NGP2,Nozzle,Night 07-14,ngp2|Night 07-14,7,23,0.5,1.283,0,4639,#ffffff,13,0.399
ngp2,NGP2,Nozzle,Night 07-14,ngp2|Night 07-14,8,23,0.5,1.262,0,4639,#ffffff,13,0.403
ngp2,NGP2,Nozzle,Night 07-14,ngp2|Night 07-14,9,24,0.52,2.526,0,4639,#ffffff,13,0.795
ngp2,NGP2,Nozzle,Night 07-14,ngp2|Night 07-14,10,23,0.5,1.251,0,4639,#ffffff,13,0.402
ngp2,NGP2,Camera,Day 07-08,ngp2|Day 07-08,1,0,0.0,1.185,0,2438,#ffffff,0,0.274
ngp2,NGP2,Camera,Day 07-08,ngp2|Day 07-08,2,5,0.21,1.184,0,2438,#ffffff,0,0.26
ngp2,NGP2,Camera,Day 07-08,ngp2|Day 07-08,3,3,0.12,1.687,0,2438,#ffffff,0,0.334
ngp2,NGP2,Camera,Day 07-08,ngp2|Day 07-08,4,1,0.04,1.849,0,2438,#ffffff,0,0.444
ngp2,NGP2,Camera,Day 07-08,ngp2|Day 07-08,5,2,0.08,1.969,0,2438,#ffffff,0,0.391
ngp2,NGP2,Camera,Day 07-08,ngp2|Day 07-08,6,3,0.12,0.77,0,2438,#ffffff,0,0.184
ngp2,NGP2,Camera,Day 07-08,ngp2|Day 07-08,7,1,0.04,0.811,0,2438,#ffffff,0,0.175
ngp2,NGP2,Camera,Day 07-08,ngp2|Day 07-08,8,2,0.08,0.76,0,2438,#ffffff,0,0.192
ngp2,NGP2,Camera,Day 07-08,ngp2|Day 07-08,9,3,0.12,0.783,0,2438,#ffffff,0,0.169
ngp2,NGP2,Camera,Day 07-08,ngp2|Day 07-08,10,5,0.21,3.707,0,2438,#ffffff,0,0.758
ngp2,NGP2,Camera,Night 07-08,ngp2|Night 07-08,1,2,0.04,0.938,0,4589,#ffffff,1,0.274
ngp2,NGP2,Camera,Night 07-08,ngp2|Night 07-08,2,9,0.2,0.933,0,4589,#ffffff,1,0.26
ngp2,NGP2,Camera,Night 07-08,ngp2|Night 07-08,3,5,0.11,1.32,0,4589,#ffffff,1,0.334
ngp2,NGP2,Camera,Night 07-08,ngp2|Night 07-08,4,7,0.15,1.468,0,4589,#ffffff,1,0.444
ngp2,NGP2,Camera,Night 07-08,ngp2|Night 07-08,5,2,0.04,1.541,0,4589,#ffffff,1,0.391
ngp2,NGP2,Camera,Night 07-08,ngp2|Night 07-08,6,1,0.02,0.611,0,4589,#ffffff,1,0.184
ngp2,NGP2,Camera,Night 07-08,ngp2|Night 07-08,7,0,0.0,0.639,0,4589,#ffffff,1,0.175
ngp2,NGP2,Camera,Night 07-08,ngp2|Night 07-08,8,6,0.13,0.606,0,4589,#ffffff,1,0.192
ngp2,NGP2,Camera,Night 07-08,ngp2|Night 07-08,9,2,0.04,0.617,0,4589,#ffffff,1,0.169
ngp2,NGP2,Camera,Night 07-08,ngp2|Night 07-08,10,19,0.41,2.907,0,4589,#ffffff,1,0.758
ngp2,NGP2,Camera,Day 07-09,ngp2|Day 07-09,1,0,0.0,1.208,0,2320,#ffffff,2,0.274
ngp2,NGP2,Camera,Day 07-09,ngp2|Day 07-09,2,0,0.0,1.207,0,2320,#ffffff,2,0.26
ngp2,NGP2,Camera,Day 07-09,ngp2|Day 07-09,3,0,0.0,1.72,0,2320,#ffffff,2,0.334
ngp2,NGP2,Camera,Day 07-09,ngp2|Day 07-09,4,0,0.0,1.884,0,2320,#ffffff,2,0.444
ngp2,NGP2,Camera,Day 07-09,ngp2|Day 07-09,5,0,0.0,2.009,0,2320,#ffffff,2,0.391
ngp2,NGP2,Camera,Day 07-09,ngp2|Day 07-09,6,0,0.0,0.785,0,2320,#ffffff,2,0.184
ngp2,NGP2,Camera,Day 07-09,ngp2|Day 07-09,7,0,0.0,0.827,0,2320,#ffffff,2,0.175
ngp2,NGP2,Camera,Day 07-09,ngp2|Day 07-09,8,0,0.0,0.774,0,2320,#ffffff,2,0.192
ngp2,NGP2,Camera,Day 07-09,ngp2|Day 07-09,9,0,0.0,0.799,0,2320,#ffffff,2,0.169
ngp2,NGP2,Camera,Day 07-09,ngp2|Day 07-09,10,0,0.0,3.781,0,2320,#ffffff,2,0.758
ngp2,NGP2,Camera,Night 07-09,ngp2|Night 07-09,1,6,0.25,1.183,0,2448,#ffffff,3,0.274
ngp2,NGP2,Camera,Night 07-09,ngp2|Night 07-09,2,5,0.2,1.182,0,2448,#ffffff,3,0.26
ngp2,NGP2,Camera,Night 07-09,ngp2|Night 07-09,3,18,0.74,1.684,0,2448,#ffffff,3,0.334
ngp2,NGP2,Camera,Night 07-09,ngp2|Night 07-09,4,12,0.49,1.846,0,2448,#ffffff,3,0.444
ngp2,NGP2,Camera,Night 07-09,ngp2|Night 07-09,5,1,0.04,1.966,0,2448,#ffffff,3,0.391
ngp2,NGP2,Camera,Night 07-09,ngp2|Night 07-09,6,0,0.0,0.769,0,2448,#ffffff,3,0.184
ngp2,NGP2,Camera,Night 07-09,ngp2|Night 07-09,7,0,0.0,0.81,0,2448,#ffffff,3,0.175
ngp2,NGP2,Camera,Night 07-09,ngp2|Night 07-09,8,2,0.08,0.759,0,2448,#ffffff,3,0.192
ngp2,NGP2,Camera,Night 07-09,ngp2|Night 07-09,9,0,0.0,0.782,0,2448,#ffffff,3,0.169
ngp2,NGP2,Camera,Night 07-09,ngp2|Night 07-09,10,14,0.57,3.701,0,2448,#ffffff,3,0.758
ngp2,NGP2,Camera,Day 07-10,ngp2|Day 07-10,1,0,0.0,1.163,0,2560,#ffffff,4,0.274
ngp2,NGP2,Camera,Day 07-10,ngp2|Day 07-10,2,0,0.0,1.161,0,2560,#ffffff,4,0.26
ngp2,NGP2,Camera,Day 07-10,ngp2|Day 07-10,3,0,0.0,1.654,0,2560,#ffffff,4,0.334
ngp2,NGP2,Camera,Day 07-10,ngp2|Day 07-10,4,0,0.0,1.815,0,2560,#ffffff,4,0.444
ngp2,NGP2,Camera,Day 07-10,ngp2|Day 07-10,5,0,0.0,1.931,0,2560,#ffffff,4,0.391
ngp2,NGP2,Camera,Day 07-10,ngp2|Day 07-10,6,0,0.0,0.756,0,2560,#ffffff,4,0.184
ngp2,NGP2,Camera,Day 07-10,ngp2|Day 07-10,7,0,0.0,0.796,0,2560,#ffffff,4,0.175
ngp2,NGP2,Camera,Day 07-10,ngp2|Day 07-10,8,0,0.0,0.746,0,2560,#ffffff,4,0.192
ngp2,NGP2,Camera,Day 07-10,ngp2|Day 07-10,9,0,0.0,0.768,0,2560,#ffffff,4,0.169
ngp2,NGP2,Camera,Day 07-10,ngp2|Day 07-10,10,0,0.0,3.635,0,2560,#ffffff,4,0.758
ngp2,NGP2,Camera,Night 07-10,ngp2|Night 07-10,1,10,0.28,1.022,0,3621,#ffffff,5,0.274
ngp2,NGP2,Camera,Night 07-10,ngp2|Night 07-10,2,7,0.19,1.018,0,3621,#ffffff,5,0.26
ngp2,NGP2,Camera,Night 07-10,ngp2|Night 07-10,3,39,1.08,1.444,0,3621,#ffffff,5,0.334
ngp2,NGP2,Camera,Night 07-10,ngp2|Night 07-10,4,65,1.8,1.597,1,3621,#e17055,5,0.444
ngp2,NGP2,Camera,Night 07-10,ngp2|Night 07-10,5,0,0.0,1.686,0,3621,#ffffff,5,0.391
ngp2,NGP2,Camera,Night 07-10,ngp2|Night 07-10,6,12,0.33,0.665,0,3621,#ffffff,5,0.184
ngp2,NGP2,Camera,Night 07-10,ngp2|Night 07-10,7,1,0.03,0.697,0,3621,#ffffff,5,0.175
ngp2,NGP2,Camera,Night 07-10,ngp2|Night 07-10,8,8,0.22,0.658,0,3621,#ffffff,5,0.192
ngp2,NGP2,Camera,Night 07-10,ngp2|Night 07-10,9,2,0.06,0.673,0,3621,#ffffff,5,0.169
ngp2,NGP2,Camera,Night 07-10,ngp2|Night 07-10,10,39,1.08,3.178,0,3621,#ffffff,5,0.758
ngp2,NGP2,Camera,Day 07-11,ngp2|Day 07-11,1,4,0.07,0.855,0,5998,#ffffff,6,0.274
ngp2,NGP2,Camera,Day 07-11,ngp2|Day 07-11,2,10,0.17,0.849,0,5998,#ffffff,6,0.26
ngp2,NGP2,Camera,Day 07-11,ngp2|Day 07-11,3,19,0.32,1.196,0,5998,#ffffff,6,0.334
ngp2,NGP2,Camera,Day 07-11,ngp2|Day 07-11,4,9,0.15,1.339,0,5998,#ffffff,6,0.444
ngp2,NGP2,Camera,Day 07-11,ngp2|Day 07-11,5,2,0.03,1.397,0,5998,#ffffff,6,0.391
ngp2,NGP2,Camera,Day 07-11,ngp2|Day 07-11,6,7,0.12,0.558,0,5998,#ffffff,6,0.184
ngp2,NGP2,Camera,Day 07-11,ngp2|Day 07-11,7,3,0.05,0.58,0,5998,#ffffff,6,0.175
ngp2,NGP2,Camera,Day 07-11,ngp2|Day 07-11,8,3,0.05,0.554,0,5998,#ffffff,6,0.192
ngp2,NGP2,Camera,Day 07-11,ngp2|Day 07-11,9,1,0.02,0.561,0,5998,#ffffff,6,0.169
ngp2,NGP2,Camera,Day 07-11,ngp2|Day 07-11,10,13,0.22,2.638,0,5998,#ffffff,6,0.758
ngp2,NGP2,Camera,Night 07-11,ngp2|Night 07-11,1,7,0.22,1.067,0,3218,#ffffff,7,0.274
ngp2,NGP2,Camera,Night 07-11,ngp2|Night 07-11,2,3,0.09,1.064,0,3218,#ffffff,7,0.26
ngp2,NGP2,Camera,Night 07-11,ngp2|Night 07-11,3,60,1.86,1.511,1,3218,#e17055,7,0.334
ngp2,NGP2,Camera,Night 07-11,ngp2|Night 07-11,4,7,0.22,1.667,0,3218,#ffffff,7,0.444
ngp2,NGP2,Camera,Night 07-11,ngp2|Night 07-11,5,2,0.06,1.765,0,3218,#ffffff,7,0.391
ngp2,NGP2,Camera,Night 07-11,ngp2|Night 07-11,6,5,0.16,0.694,0,3218,#ffffff,7,0.184
ngp2,NGP2,Camera,Night 07-11,ngp2|Night 07-11,7,0,0.0,0.729,0,3218,#ffffff,7,0.175
ngp2,NGP2,Camera,Night 07-11,ngp2|Night 07-11,8,8,0.25,0.686,0,3218,#ffffff,7,0.192
