AnchorShiftKey,LineId,Line,TrendRank,TrendShiftKey,TrendShiftLabel,TrendShiftDate,Category,CategoryLabel,Hours,CategoryColor
hu3|2026-06-14|night,hu3,HU3,1,hu3|2026-06-14|day,Day 06-14,2026-06-14,halted,Halted (operator wait),1.93,#636e72
hu3|2026-06-14|night,hu3,HU3,1,hu3|2026-06-14|day,Day 06-14,2026-06-14,auto_long,Auto-stops (>2 min),1.89,#b2bec3
hu3|2026-06-14|night,hu3,HU3,1,hu3|2026-06-14|day,Day 06-14,2026-06-14,manual,Manual stops,1.04,#dfe6e9
hu3|2026-06-14|night,hu3,HU3,2,hu3|2026-06-13|night,Night 06-13,2026-06-13,micro_stops,Micro-stops (<2 min),0.74,#2d3436
hu3|2026-06-14|night,hu3,HU3,2,hu3|2026-06-13|night,Night 06-13,2026-06-13,halted,Halted (operator wait),0.62,#636e72
hu3|2026-06-14|night,hu3,HU3,2,hu3|2026-06-13|night,Night 06-13,2026-06-13,auto_long,Auto-stops (>2 min),3.69,#b2bec3
hu3|2026-06-14|night,hu3,HU3,2,hu3|2026-06-13|night,Night 06-13,2026-06-13,manual,Manual stops,1.47,#dfe6e9
hu3|2026-06-14|night,hu3,HU3,3,hu3|2026-06-13|day,Day 06-13,2026-06-13,micro_stops,Micro-stops (<2 min),0.62,#2d3436
hu3|2026-06-14|night,hu3,HU3,3,hu3|2026-06-13|day,Day 06-13,2026-06-13,halted,Halted (operator wait),2.68,#636e72
hu3|2026-06-14|night,hu3,HU3,3,hu3|2026-06-13|day,Day 06-13,2026-06-13,auto_long,Auto-stops (>2 min),3.19,#b2bec3
hu3|2026-06-14|night,hu3,HU3,3,hu3|2026-06-13|day,Day 06-13,2026-06-13,manual,Manual stops,0.21,#dfe6e9
hu3|2026-06-15|day,hu3,HU3,0,hu3|2026-06-15|day,Day 06-15,2026-06-15,micro_stops,Micro-stops (<2 min),0.38,#2d3436
hu3|2026-06-15|day,hu3,HU3,0,hu3|2026-06-15|day,Day 06-15,2026-06-15,halted,Halted (operator wait),0.17,#636e72
hu3|2026-06-15|day,hu3,HU3,0,hu3|2026-06-15|day,Day 06-15,2026-06-15,auto_long,Auto-stops (>2 min),3.41,#b2bec3
hu3|2026-06-15|day,hu3,HU3,0,hu3|2026-06-15|day,Day 06-15,2026-06-15,manual,Manual stops,0.09,#dfe6e9
hu3|2026-06-15|day,hu3,HU3,1,hu3|2026-06-14|night,Night 06-14,2026-06-14,micro_stops,Micro-stops (<2 min),0.33,#2d3436
hu3|2026-06-15|day,hu3,HU3,1,hu3|2026-06-14|night,Night 06-14,2026-06-14,halted,Halted (operator wait),1.41,#636e72
hu3|2026-06-15|day,hu3,HU3,1,hu3|2026-06-14|night,Night 06-14,2026-06-14,auto_long,Auto-stops (>2 min),1.79,#b2bec3
hu3|2026-06-15|day,hu3,HU3,1,hu3|2026-06-14|night,Night 06-14,2026-06-14,manual,Manual stops,1.02,#dfe6e9
hu3|2026-06-15|day,hu3,HU3,2,hu3|2026-06-14|day,Day 06-14,2026-06-14,micro_stops,Micro-stops (<2 min),0.28,#2d3436
hu3|2026-06-15|day,hu3,HU3,2,hu3|2026-06-14|day,Day 06-14,2026-06-14,halted,Halted (operator wait),1.93,#636e72
hu3|2026-06-15|day,hu3,HU3,2,hu3|2026-06-14|day,Day 06-14,2026-06-14,auto_long,Auto-stops (>2 min),1.89,#b2bec3
hu3|2026-06-15|day,hu3,HU3,2,hu3|2026-06-14|day,Day 06-14,2026-06-14,manual,Manual stops,1.04,#dfe6e9
hu3|2026-06-15|day,hu3,HU3,3,hu3|2026-06-13|night,Night 06-13,2026-06-13,micro_stops,Micro-stops (<2 min),0.74,#2d3436
hu3|2026-06-15|day,hu3,HU3,3,hu3|2026-06-13|night,Night 06-13,2026-06-13,halted,Halted (operator wait),0.62,#636e72
hu3|2026-06-15|day,hu3,HU3,3,hu3|2026-06-13|night,Night 06-13,2026-06-13,auto_long,Auto-stops (>2 min),3.69,#b2bec3
hu3|2026-06-15|day,hu3,HU3,3,hu3|2026-06-13|night,Night 06-13,2026-06-13,manual,Manual stops,1.47,#dfe6e9
hu3|2026-06-15|night,hu3,HU3,0,hu3|2026-06-15|night,Night 06-15,2026-06-15,micro_stops,Micro-stops (<2 min),0.6,#2d3436
hu3|2026-06-15|night,hu3,HU3,0,hu3|2026-06-15|night,Night 06-15,2026-06-15,halted,Halted (operator wait),0.29,#636e72
hu3|2026-06-15|night,hu3,HU3,0,hu3|2026-06-15|night,Night 06-15,2026-06-15,auto_long,Auto-stops (>2 min),2.68,#b2bec3
hu3|2026-06-15|night,hu3,HU3,0,hu3|2026-06-15|night,Night 06-15,2026-06-15,manual,Manual stops,0.67,#dfe6e9
hu3|2026-06-15|night,hu3,HU3,1,hu3|2026-06-15|day,Day 06-15,2026-06-15,micro_stops,Micro-stops (<2 min),0.38,#2d3436
hu3|2026-06-15|night,hu3,HU3,1,hu3|2026-06-15|day,Day 06-15,2026-06-15,halted,Halted (operator wait),0.17,#636e72
hu3|2026-06-15|night,hu3,HU3,1,hu3|2026-06-15|day,Day 06-15,2026-06-15,auto_long,Auto-stops (>2 min),3.41,#b2bec3
hu3|2026-06-15|night,hu3,HU3,1,hu3|2026-06-15|day,Day 06-15,2026-06-15,manual,Manual stops,0.09,#dfe6e9
hu3|2026-06-15|night,hu3,HU3,2,hu3|2026-06-14|night,Night 06-14,2026-06-14,micro_stops,Micro-stops (<2 min),0.33,#2d3436
hu3|2026-06-15|night,hu3,HU3,2,hu3|2026-06-14|night,Night 06-14,2026-06-14,halted,Halted (operator wait),1.41,#636e72
hu3|2026-06-15|night,hu3,HU3,2,hu3|2026-06-14|night,Night 06-14,2026-06-14,auto_long,Auto-stops (>2 min),1.79,#b2bec3
hu3|2026-06-15|night,hu3,HU3,2,hu3|2026-06-14|night,Night 06-14,2026-06-14,manual,Manual stops,1.02,#dfe6e9
hu3|2026-06-15|night,hu3,HU3,3,hu3|2026-06-14|day,Day 06-14,2026-06-14,micro_stops,Micro-stops (<2 min),0.28,#2d3436
hu3|2026-06-15|night,hu3,HU3,3,hu3|2026-06-14|day,Day 06-14,2026-06-14,halted,Halted (operator wait),1.93,#636e72
hu3|2026-06-15|night,hu3,HU3,3,hu3|2026-06-14|day,Day 06-14,2026-06-14,auto_long,Auto-stops (>2 min),1.89,#b2bec3
hu3|2026-06-15|night,hu3,HU3,3,hu3|2026-06-14|day,Day 06-14,2026-06-14,manual,Manual stops,1.04,#dfe6e9
hu3|2026-06-16|day,hu3,HU3,0,hu3|2026-06-16|day,Day 06-16,2026-06-16,micro_stops,Micro-stops (<2 min),1.0,#2d3436
hu3|2026-06-16|day,hu3,HU3,0,hu3|2026-06-16|day,Day 06-16,2026-06-16,halted,Halted (operator wait),1.33,#636e72
hu3|2026-06-16|day,hu3,HU3,0,hu3|2026-06-16|day,Day 06-16,2026-06-16,auto_long,Auto-stops (>2 min),1.48,#b2bec3
hu3|2026-06-16|day,hu3,HU3,0,hu3|2026-06-16|day,Day 06-16,2026-06-16,manual,Manual stops,0.38,#dfe6e9
hu3|2026-06-16|day,hu3,HU3,1,hu3|2026-06-15|night,Night 06-15,2026-06-15,micro_stops,Micro-stops (<2 min),0.6,#2d3436
hu3|2026-06-16|day,hu3,HU3,1,hu3|2026-06-15|night,Night 06-15,2026-06-15,halted,Halted (operator wait),0.29,#636e72
hu3|2026-06-16|day,hu3,HU3,1,hu3|2026-06-15|night,Night 06-15,2026-06-15,auto_long,Auto-stops (>2 min),2.68,#b2bec3
hu3|2026-06-16|day,hu3,HU3,1,hu3|2026-06-15|night,Night 06-15,2026-06-15,manual,Manual stops,0.67,#dfe6e9
hu3|2026-06-16|day,hu3,HU3,2,hu3|2026-06-15|day,Day 06-15,2026-06-15,micro_stops,Micro-stops (<2 min),0.38,#2d3436
hu3|2026-06-16|day,hu3,HU3,2,hu3|2026-06-15|day,Day 06-15,2026-06-15,halted,Halted (operator wait),0.17,#636e72
hu3|2026-06-16|day,hu3,HU3,2,hu3|2026-06-15|day,Day 06-15,2026-06-15,auto_long,Auto-stops (>2 min),3.41,#b2bec3
hu3|2026-06-16|day,hu3,HU3,2,hu3|2026-06-15|day,Day 06-15,2026-06-15,manual,Manual stops,0.09,#dfe6e9
hu3|2026-06-16|day,hu3,HU3,3,hu3|2026-06-14|night,Night 06-14,2026-06-14,micro_stops,Micro-stops (<2 min),0.33,#2d3436
hu3|2026-06-16|day,hu3,HU3,3,hu3|2026-06-14|night,Night 06-14,2026-06-14,halted,Halted (operator wait),1.41,#636e72
hu3|2026-06-16|day,hu3,HU3,3,hu3|2026-06-14|night,Night 06-14,2026-06-14,auto_long,Auto-stops (>2 min),1.79,#b2bec3
hu3|2026-06-16|day,hu3,HU3,3,hu3|2026-06-14|night,Night 06-14,2026-06-14,manual,Manual stops,1.02,#dfe6e9
hu3|2026-06-16|night,hu3,HU3,0,hu3|2026-06-16|night,Night 06-16,2026-06-16,micro_stops,Micro-stops (<2 min),0.83,#2d3436
hu3|2026-06-16|night,hu3,HU3,0,hu3|2026-06-16|night,Night 06-16,2026-06-16,halted,Halted (operator wait),0.14,#636e72
hu3|2026-06-16|night,hu3,HU3,0,hu3|2026-06-16|night,Night 06-16,2026-06-16,auto_long,Auto-stops (>2 min),2.34,#b2bec3
hu3|2026-06-16|night,hu3,HU3,0,hu3|2026-06-16|night,Night 06-16,2026-06-16,manual,Manual stops,0.88,#dfe6e9
hu3|2026-06-16|night,hu3,HU3,1,hu3|2026-06-16|day,Day 06-16,2026-06-16,micro_stops,Micro-stops (<2 min),1.0,#2d3436
hu3|2026-06-16|night,hu3,HU3,1,hu3|2026-06-16|day,Day 06-16,2026-06-16,halted,Halted (operator wait),1.33,#636e72
hu3|2026-06-16|night,hu3,HU3,1,hu3|2026-06-16|day,Day 06-16,2026-06-16,auto_long,Auto-stops (>2 min),1.48,#b2bec3
hu3|2026-06-16|night,hu3,HU3,1,hu3|2026-06-16|day,Day 06-16,2026-06-16,manual,Manual stops,0.38,#dfe6e9
hu3|2026-06-16|night,hu3,HU3,2,hu3|2026-06-15|night,Night 06-15,2026-06-15,micro_stops,Micro-stops (<2 min),0.6,#2d3436
hu3|2026-06-16|night,hu3,HU3,2,hu3|2026-06-15|night,Night 06-15,2026-06-15,halted,Halted (operator wait),0.29,#636e72
hu3|2026-06-16|night,hu3,HU3,2,hu3|2026-06-15|night,Night 06-15,2026-06-15,auto_long,Auto-stops (>2 min),2.68,#b2bec3
hu3|2026-06-16|night,hu3,HU3,2,hu3|2026-06-15|night,Night 06-15,2026-06-15,manual,Manual stops,0.67,#dfe6e9
hu3|2026-06-16|night,hu3,HU3,3,hu3|2026-06-15|day,Day 06-15,2026-06-15,micro_stops,Micro-stops (<2 min),0.38,#2d3436
hu3|2026-06-16|night,hu3,HU3,3,hu3|2026-06-15|day,Day 06-15,2026-06-15,halted,Halted (operator wait),0.17,#636e72
hu3|2026-06-16|night,hu3,HU3,3,hu3|2026-06-15|day,Day 06-15,2026-06-15,auto_long,Auto-stops (>2 min),3.41,#b2bec3
hu3|2026-06-16|night,hu3,HU3,3,hu3|2026-06-15|day,Day 06-15,2026-06-15,manual,Manual stops,0.09,#dfe6e9
hu3|2026-06-17|day,hu3,HU3,0,hu3|2026-06-17|day,Day 06-17,2026-06-17,micro_stops,Micro-stops (<2 min),0.47,#2d3436
hu3|2026-06-17|day,hu3,HU3,0,hu3|2026-06-17|day,Day 06-17,2026-06-17,halted,Halted (operator wait),1.06,#636e72
hu3|2026-06-17|day,hu3,HU3,0,hu3|2026-06-17|day,Day 06-17,2026-06-17,auto_long,Auto-stops (>2 min),3.75,#b2bec3
hu3|2026-06-17|day,hu3,HU3,0,hu3|2026-06-17|day,Day 06-17,2026-06-17,manual,Manual stops,2.13,#dfe6e9
hu3|2026-06-17|day,hu3,HU3,1,hu3|2026-06-16|night,Night 06-16,2026-06-16,micro_stops,Micro-stops (<2 min),0.83,#2d3436
hu3|2026-06-17|day,hu3,HU3,1,hu3|2026-06-16|night,Night 06-16,2026-06-16,halted,Halted (operator wait),0.14,#636e72
hu3|2026-06-17|day,hu3,HU3,1,hu3|2026-06-16|night,Night 06-16,2026-06-16,auto_long,Auto-stops (>2 min),2.34,#b2bec3
hu3|2026-06-17|day,hu3,HU3,1,hu3|2026-06-16|night,Night 06-16,2026-06-16,manual,Manual stops,0.88,#dfe6e9
hu3|2026-06-17|day,hu3,HU3,2,hu3|2026-06-16|day,Day 06-16,2026-06-16,micro_stops,Micro-stops (<2 min),1.0,#2d3436
hu3|2026-06-17|day,hu3,HU3,2,hu3|2026-06-16|day,Day 06-16,2026-06-16,halted,Halted (operator wait),1.33,#636e72
hu3|2026-06-17|day,hu3,HU3,2,hu3|2026-06-16|day,Day 06-16,2026-06-16,auto_long,Auto-stops (>2 min),1.48,#b2bec3
hu3|2026-06-17|day,hu3,HU3,2,hu3|2026-06-16|day,Day 06-16,2026-06-16,manual,Manual stops,0.38,#dfe6e9
hu3|2026-06-17|day,hu3,HU3,3,hu3|2026-06-15|night,Night 06-15,2026-06-15,micro_stops,Micro-stops (<2 min),0.6,#2d3436
hu3|2026-06-17|day,hu3,HU3,3,hu3|2026-06-15|night,Night 06-15,2026-06-15,halted,Halted (operator wait),0.29,#636e72
hu3|2026-06-17|day,hu3,HU3,3,hu3|2026-06-15|night,Night 06-15,2026-06-15,auto_long,Auto-stops (>2 min),2.68,#b2bec3
hu3|2026-06-17|day,hu3,HU3,3,hu3|2026-06-15|night,Night 06-15,2026-06-15,manual,Manual stops,0.67,#dfe6e9
hu3|2026-06-17|night,hu3,HU3,0,hu3|2026-06-17|night,Night 06-17,2026-06-17,micro_stops,Micro-stops (<2 min),0.78,#2d3436
hu3|2026-06-17|night,hu3,HU3,0,hu3|2026-06-17|night,Night 06-17,2026-06-17,halted,Halted (operator wait),0.45,#636e72
hu3|2026-06-17|night,hu3,HU3,0,hu3|2026-06-17|night,Night 06-17,2026-06-17,auto_long,Auto-stops (>2 min),3.73,#b2bec3
hu3|2026-06-17|night,hu3,HU3,0,hu3|2026-06-17|night,Night 06-17,2026-06-17,manual,Manual stops,0.39,#dfe6e9
hu3|2026-06-17|night,hu3,HU3,1,hu3|2026-06-17|day,Day 06-17,2026-06-17,micro_stops,Micro-stops (<2 min),0.47,#2d3436
hu3|2026-06-17|night,hu3,HU3,1,hu3|2026-06-17|day,Day 06-17,2026-06-17,halted,Halted (operator wait),1.06,#636e72
hu3|2026-06-17|night,hu3,HU3,1,hu3|2026-06-17|day,Day 06-17,2026-06-17,auto_long,Auto-stops (>2 min),3.75,#b2bec3
hu3|2026-06-17|night,hu3,HU3,1,hu3|2026-06-17|day,Day 06-17,2026-06-17,manual,Manual stops,2.13,#dfe6e9
hu3|2026-06-17|night,hu3,HU3,2,hu3|2026-06-16|night,Night 06-16,2026-06-16,micro_stops,Micro-stops (<2 min),0.83,#2d3436
hu3|2026-06-17|night,hu3,HU3,2,hu3|2026-06-16|night,Night 06-16,2026-06-16,halted,Halted (operator wait),0.14,#636e72
hu3|2026-06-17|night,hu3,HU3,2,hu3|2026-06-16|night,Night 06-16,2026-06-16,auto_long,Auto-stops (>2 min),2.34,#b2bec3
hu3|2026-06-17|night,hu3,HU3,2,hu3|2026-06-16|night,Night 06-16,2026-06-16,manual,Manual stops,0.88,#dfe6e9
hu3|2026-06-17|night,hu3,HU3,3,hu3|2026-06-16|day,Day 06-16,2026-06-16,micro_stops,Micro-stops (<2 min),1.0,#2d3436
hu3|2026-06-17|night,hu3,HU3,3,hu3|2026-06-16|day,Day 06-16,2026-06-16,halted,Halted (operator wait),1.33,#636e72
hu3|2026-06-17|night,hu3,HU3,3,hu3|2026-06-16|day,Day 06-16,2026-06-16,auto_long,Auto-stops (>2 min),1.48,#b2bec3
hu3|2026-06-17|night,hu3,HU3,3,hu3|2026-06-16|day,Day 06-16,2026-06-16,manual,Manual stops,0.38,#dfe6e9
hu3|2026-06-18|day,hu3,HU3,0,hu3|2026-06-18|day,Day 06-18,2026-06-18,micro_stops,Micro-stops (<2 min),0.62,#2d3436
hu3|2026-06-18|day,hu3,HU3,0,hu3|2026-06-18|day,Day 06-18,2026-06-18,halted,Halted (operator wait),0.1,#636e72
hu3|2026-06-18|day,hu3,HU3,0,hu3|2026-06-18|day,Day 06-18,2026-06-18,auto_long,Auto-stops (>2 min),4.71,#b2bec3
hu3|2026-06-18|day,hu3,HU3,0,hu3|2026-06-18|day,Day 06-18,2026-06-18,manual,Manual stops,2.43,#dfe6e9
hu3|2026-06-18|day,hu3,HU3,1,hu3|2026-06-17|night,Night 06-17,2026-06-17,micro_stops,Micro-stops (<2 min),0.78,#2d3436
hu3|2026-06-18|day,hu3,HU3,1,hu3|2026-06-17|night,Night 06-17,2026-06-17,halted,Halted (operator wait),0.45,#636e72
hu3|2026-06-18|day,hu3,HU3,1,hu3|2026-06-17|night,Night 06-17,2026-06-17,auto_long,Auto-stops (>2 min),3.73,#b2bec3
hu3|2026-06-18|day,hu3,HU3,1,hu3|2026-06-17|night,Night 06-17,2026-06-17,manual,Manual stops,0.39,#dfe6e9
hu3|2026-06-18|day,hu3,HU3,2,hu3|2026-06-17|day,Day 06-17,2026-06-17,micro_stops,Micro-stops (<2 min),0.47,#2d3436
hu3|2026-06-18|day,hu3,HU3,2,hu3|2026-06-17|day,Day 06-17,2026-06-17,halted,Halted (operator wait),1.06,#636e72
hu3|2026-06-18|day,hu3,HU3,2,hu3|2026-06-17|day,Day 06-17,2026-06-17,auto_long,Auto-stops (>2 min),3.75,#b2bec3
hu3|2026-06-18|day,hu3,HU3,2,hu3|2026-06-17|day,Day 06-17,2026-06-17,manual,Manual stops,2.13,#dfe6e9
hu3|2026-06-18|day,hu3,HU3,3,hu3|2026-06-16|night,Night 06-16,2026-06-16,micro_stops,Micro-stops (<2 min),0.83,#2d3436
hu3|2026-06-18|day,hu3,HU3,3,hu3|2026-06-16|night,Night 06-16,2026-06-16,halted,Halted (operator wait),0.14,#636e72
hu3|2026-06-18|day,hu3,HU3,3,hu3|2026-06-16|night,Night 06-16,2026-06-16,auto_long,Auto-stops (>2 min),2.34,#b2bec3
hu3|2026-06-18|day,hu3,HU3,3,hu3|2026-06-16|night,Night 06-16,2026-06-16,manual,Manual stops,0.88,#dfe6e9
hu3|2026-06-18|night,hu3,HU3,0,hu3|2026-06-18|night,Night 06-18,2026-06-18,micro_stops,Micro-stops (<2 min),0.27,#2d3436
hu3|2026-06-18|night,hu3,HU3,0,hu3|2026-06-18|night,Night 06-18,2026-06-18,halted,Halted (operator wait),0.7,#636e72
hu3|2026-06-18|night,hu3,HU3,0,hu3|2026-06-18|night,Night 06-18,2026-06-18,auto_long,Auto-stops (>2 min),1.69,#b2bec3
hu3|2026-06-18|night,hu3,HU3,0,hu3|2026-06-18|night,Night 06-18,2026-06-18,manual,Manual stops,0.79,#dfe6e9
hu3|2026-06-18|night,hu3,HU3,1,hu3|2026-06-18|day,Day 06-18,2026-06-18,micro_stops,Micro-stops (<2 min),0.62,#2d3436
hu3|2026-06-18|night,hu3,HU3,1,hu3|2026-06-18|day,Day 06-18,2026-06-18,halted,Halted (operator wait),0.1,#636e72
hu3|2026-06-18|night,hu3,HU3,1,hu3|2026-06-18|day,Day 06-18,2026-06-18,auto_long,Auto-stops (>2 min),4.71,#b2bec3
hu3|2026-06-18|night,hu3,HU3,1,hu3|2026-06-18|day,Day 06-18,2026-06-18,manual,Manual stops,2.43,#dfe6e9
hu3|2026-06-18|night,hu3,HU3,2,hu3|2026-06-17|night,Night 06-17,2026-06-17,micro_stops,Micro-stops (<2 min),0.78,#2d3436
hu3|2026-06-18|night,hu3,HU3,2,hu3|2026-06-17|night,Night 06-17,2026-06-17,halted,Halted (operator wait),0.45,#636e72
hu3|2026-06-18|night,hu3,HU3,2,hu3|2026-06-17|night,Night 06-17,2026-06-17,auto_long,Auto-stops (>2 min),3.73,#b2bec3
hu3|2026-06-18|night,hu3,HU3,2,hu3|2026-06-17|night,Night 06-17,2026-06-17,manual,Manual stops,0.39,#dfe6e9
hu3|2026-06-18|night,hu3,HU3,3,hu3|2026-06-17|day,Day 06-17,2026-06-17,micro_stops,Micro-stops (<2 min),0.47,#2d3436
hu3|2026-06-18|night,hu3,HU3,3,hu3|2026-06-17|day,Day 06-17,2026-06-17,halted,Halted (operator wait),1.06,#636e72
hu3|2026-06-18|night,hu3,HU3,3,hu3|2026-06-17|day,Day 06-17,2026-06-17,auto_long,Auto-stops (>2 min),3.75,#b2bec3
hu3|2026-06-18|night,hu3,HU3,3,hu3|2026-06-17|day,Day 06-17,2026-06-17,manual,Manual stops,2.13,#dfe6e9
hu3|2026-06-19|day,hu3,HU3,0,hu3|2026-06-19|day,Day 06-19,2026-06-19,micro_stops,Micro-stops (<2 min),0.29,#2d3436
hu3|2026-06-19|day,hu3,HU3,0,hu3|2026-06-19|day,Day 06-19,2026-06-19,halted,Halted (operator wait),0.9,#636e72
hu3|2026-06-19|day,hu3,HU3,0,hu3|2026-06-19|day,Day 06-19,2026-06-19,auto_long,Auto-stops (>2 min),2.01,#b2bec3
hu3|2026-06-19|day,hu3,HU3,0,hu3|2026-06-19|day,Day 06-19,2026-06-19,manual,Manual stops,4.82,#dfe6e9
hu3|2026-06-19|day,hu3,HU3,1,hu3|2026-06-18|night,Night 06-18,2026-06-18,micro_stops,Micro-stops (<2 min),0.27,#2d3436
hu3|2026-06-19|day,hu3,HU3,1,hu3|2026-06-18|night,Night 06-18,2026-06-18,halted,Halted (operator wait),0.7,#636e72
hu3|2026-06-19|day,hu3,HU3,1,hu3|2026-06-18|night,Night 06-18,2026-06-18,auto_long,Auto-stops (>2 min),1.69,#b2bec3
hu3|2026-06-19|day,hu3,HU3,1,hu3|2026-06-18|night,Night 06-18,2026-06-18,manual,Manual stops,0.79,#dfe6e9
hu3|2026-06-19|day,hu3,HU3,2,hu3|2026-06-18|day,Day 06-18,2026-06-18,micro_stops,Micro-stops (<2 min),0.62,#2d3436
hu3|2026-06-19|day,hu3,HU3,2,hu3|2026-06-18|day,Day 06-18,2026-06-18,halted,Halted (operator wait),0.1,#636e72
hu3|2026-06-19|day,hu3,HU3,2,hu3|2026-06-18|day,Day 06-18,2026-06-18,auto_long,Auto-stops (>2 min),4.71,#b2bec3
hu3|2026-06-19|day,hu3,HU3,2,hu3|2026-06-18|day,Day 06-18,2026-06-18,manual,Manual stops,2.43,#dfe6e9
hu3|2026-06-19|day,hu3,HU3,3,hu3|2026-06-17|night,Night 06-17,2026-06-17,micro_stops,Micro-stops (<2 min),0.78,#2d3436
hu3|2026-06-19|day,hu3,HU3,3,hu3|2026-06-17|night,Night 06-17,2026-06-17,halted,Halted (operator wait),0.45,#636e72
hu3|2026-06-19|day,hu3,HU3,3,hu3|2026-06-17|night,Night 06-17,2026-06-17,auto_long,Auto-stops (>2 min),3.73,#b2bec3
hu3|2026-06-19|day,hu3,HU3,3,hu3|2026-06-17|night,Night 06-17,2026-06-17,manual,Manual stops,0.39,#dfe6e9
hu3|2026-06-19|night,hu3,HU3,0,hu3|2026-06-19|night,Night 06-19,2026-06-19,micro_stops,Micro-stops (<2 min),0.84,#2d3436
