ShiftKey,LineId,Line,ShiftDate,ShiftType,Label,LineShiftLabel,IsoWeek,WeekLabel,OEE,Availability,Performance,Quality,RunningHours,ScheduledHours,TotalStops,TotalDowntimeHours,LongestStopMin,GoodCount,TotalCount
ngp2|2026-06-19|night,ngp2,NGP2,2026-06-19,night,Night 06-19,ngp2|Night 06-19,2026-W25,Week of Jun 15,49.8,61.4,86.6,93.6,7.37,12.0,85,4.63,12.5,42358,45234
ngp2|2026-07-08|day,ngp2,NGP2,2026-07-08,day,Day 07-08,ngp2|Day 07-08,2026-W28,Week of Jul 06,16.6,31.1,64.4,82.6,3.74,12.0,177,8.26,28.0,20173,24410
ngp2|2026-07-08|night,ngp2,NGP2,2026-07-08,night,Night 07-08,ngp2|Night 07-08,2026-W28,Week of Jul 06,19.0,29.5,73.3,87.7,3.54,12.0,107,8.46,200.6,40213,45845
ngp2|2026-07-09|day,ngp2,NGP2,2026-07-09,day,Day 07-09,ngp2|Day 07-09,2026-W28,Week of Jul 06,4.9,10.0,58.6,84.7,1.19,12.0,81,10.81,435.5,26476,31255
ngp2|2026-07-09|night,ngp2,NGP2,2026-07-09,night,Night 07-09,ngp2|Night 07-09,2026-W28,Week of Jul 06,15.4,29.6,64.5,80.6,3.55,12.0,191,8.45,50.4,19375,24030
ngp2|2026-07-10|day,ngp2,NGP2,2026-07-10,day,Day 07-10,ngp2|Day 07-10,2026-W28,Week of Jul 06,16.9,31.0,66.0,82.7,3.72,12.0,175,8.28,92.5,21237,25675
ngp2|2026-07-10|night,ngp2,NGP2,2026-07-10,night,Night 07-10,ngp2|Night 07-10,2026-W28,Week of Jul 06,31.4,47.8,74.5,88.2,5.74,12.0,166,6.26,37.6,31958,36215
ngp2|2026-07-11|day,ngp2,NGP2,2026-07-11,day,Day 07-11,ngp2|Day 07-11,2026-W28,Week of Jul 06,23.2,39.1,70.0,84.9,4.69,12.0,193,7.31,18.7,25667,30240
ngp2|2026-07-11|night,ngp2,NGP2,2026-07-11,night,Night 07-11,ngp2|Night 07-11,2026-W28,Week of Jul 06,26.1,40.6,75.6,85.2,4.87,12.0,200,7.13,26.1,27142,31840
ngp2|2026-07-12|day,ngp2,NGP2,2026-07-12,day,Day 07-12,ngp2|Day 07-12,2026-W28,Week of Jul 06,19.4,35.8,66.6,81.5,4.3,12.0,192,7.7,81.4,23430,28737
ngp2|2026-07-12|night,ngp2,NGP2,2026-07-12,night,Night 07-12,ngp2|Night 07-12,2026-W28,Week of Jul 06,33.3,48.5,77.7,88.3,5.82,12.0,150,6.18,25.6,32879,37230
ngp2|2026-07-13|day,ngp2,NGP2,2026-07-13,day,Day 07-13,ngp2|Day 07-13,2026-W29,Week of Jul 13,19.3,31.5,71.4,85.9,3.78,12.0,123,8.22,51.0,21259,24760
ngp2|2026-07-13|night,ngp2,NGP2,2026-07-13,night,Night 07-13,ngp2|Night 07-13,2026-W29,Week of Jul 13,48.1,62.4,83.4,92.5,7.48,12.0,98,4.52,19.5,42849,46325
ngp2|2026-07-14|day,ngp2,NGP2,2026-07-14,day,Day 07-14,ngp2|Day 07-14,2026-W29,Week of Jul 13,26.1,39.9,76.7,85.4,4.79,12.0,84,7.21,40.9,24273,28410
ngp2|2026-07-14|night,ngp2,NGP2,2026-07-14,night,Night 07-14,ngp2|Night 07-14,2026-W29,Week of Jul 13,45.0,62.6,78.1,92.0,7.51,12.0,139,4.49,15.1,42413,46085
