LineId,Line,Panel,BatchIdx,Lane,Rate,Ewma,Ucl,Lcl
ngp2,NGP2,Nozzle,5,5,0.41,0.281,2.9,0.0
ngp2,NGP2,Nozzle,5,6,0.45,0.296,3.54,0.0
ngp2,NGP2,Nozzle,5,7,0.41,0.315,4.82,0.0
ngp2,NGP2,Nozzle,5,8,0.34,0.294,3.23,0.0
ngp2,NGP2,Nozzle,5,9,0.31,0.26,4.04,0.0
ngp2,NGP2,Nozzle,5,10,0.41,0.282,3.1,0.0
ngp2,NGP2,Nozzle,6,1,0.28,0.269,12.27,0.0
ngp2,NGP2,Nozzle,6,2,0.4,0.298,3.86,0.0
ngp2,NGP2,Nozzle,6,3,0.56,0.332,3.29,0.0
ngp2,NGP2,Nozzle,6,4,0.28,0.295,3.75,0.0
ngp2,NGP2,Nozzle,6,5,0.36,0.297,2.9,0.0
ngp2,NGP2,Nozzle,6,6,0.48,0.333,3.54,0.0
ngp2,NGP2,Nozzle,6,7,0.32,0.316,4.82,0.0
ngp2,NGP2,Nozzle,6,8,0.56,0.348,3.23,0.0
ngp2,NGP2,Nozzle,6,9,0.36,0.28,4.04,0.0
ngp2,NGP2,Nozzle,6,10,0.56,0.338,3.1,0.0
ngp2,NGP2,Nozzle,7,1,0.32,0.278,12.27,0.0
ngp2,NGP2,Nozzle,7,2,0.28,0.295,3.86,0.0
ngp2,NGP2,Nozzle,7,3,0.28,0.322,3.29,0.0
ngp2,NGP2,Nozzle,7,4,0.32,0.299,3.75,0.0
ngp2,NGP2,Nozzle,7,5,0.28,0.294,2.9,0.0
ngp2,NGP2,Nozzle,7,6,0.28,0.323,3.54,0.0
ngp2,NGP2,Nozzle,7,7,0.32,0.316,4.82,0.0
ngp2,NGP2,Nozzle,7,8,0.32,0.342,3.23,0.0
ngp2,NGP2,Nozzle,7,9,0.28,0.28,4.04,0.0
ngp2,NGP2,Nozzle,7,10,0.35,0.341,3.1,0.0
ngp2,NGP2,Nozzle,8,1,0.19,0.261,12.27,0.0
ngp2,NGP2,Nozzle,8,2,0.19,0.274,3.86,0.0
ngp2,NGP2,Nozzle,8,3,0.19,0.296,3.29,0.0
ngp2,NGP2,Nozzle,8,4,0.25,0.289,3.75,0.0
ngp2,NGP2,Nozzle,8,5,0.19,0.274,2.9,0.0
ngp2,NGP2,Nozzle,8,6,0.25,0.308,3.54,0.0
ngp2,NGP2,Nozzle,8,7,0.19,0.291,4.82,0.0
ngp2,NGP2,Nozzle,8,8,0.3,0.334,3.23,0.0
ngp2,NGP2,Nozzle,8,9,0.27,0.279,4.04,0.0
ngp2,NGP2,Nozzle,8,10,0.19,0.311,3.1,0.0
ngp2,NGP2,Nozzle,9,1,0.16,0.242,12.27,0.0
ngp2,NGP2,Nozzle,9,2,0.16,0.252,3.86,0.0
ngp2,NGP2,Nozzle,9,3,0.16,0.27,3.29,0.0
ngp2,NGP2,Nozzle,9,4,0.16,0.264,3.75,0.0
ngp2,NGP2,Nozzle,9,5,0.16,0.252,2.9,0.0
ngp2,NGP2,Nozzle,9,6,0.23,0.292,3.54,0.0
ngp2,NGP2,Nozzle,9,7,0.16,0.266,4.82,0.0
ngp2,NGP2,Nozzle,9,8,0.16,0.3,3.23,0.0
ngp2,NGP2,Nozzle,9,9,0.16,0.256,4.04,0.0
ngp2,NGP2,Nozzle,9,10,0.2,0.288,3.1,0.0
ngp2,NGP2,Nozzle,10,1,2.89,0.773,12.27,0.0
ngp2,NGP2,Nozzle,10,2,1.87,0.576,3.86,0.0
ngp2,NGP2,Nozzle,10,3,1.79,0.574,3.29,0.0
ngp2,NGP2,Nozzle,10,4,1.7,0.552,3.75,0.0
ngp2,NGP2,Nozzle,10,5,1.79,0.559,2.9,0.0
ngp2,NGP2,Nozzle,10,6,1.62,0.557,3.54,0.0
ngp2,NGP2,Nozzle,10,7,1.79,0.57,4.82,0.0
ngp2,NGP2,Nozzle,10,8,1.7,0.581,3.23,0.0
ngp2,NGP2,Nozzle,10,9,1.79,0.562,4.04,0.0
ngp2,NGP2,Nozzle,10,10,1.62,0.554,3.1,0.0
ngp2,NGP2,Nozzle,11,1,1.85,0.988,12.27,0.0
ngp2,NGP2,Nozzle,11,2,0.78,0.617,3.86,0.0
ngp2,NGP2,Nozzle,11,3,0.74,0.607,3.29,0.0
ngp2,NGP2,Nozzle,11,4,0.74,0.589,3.75,0.0
ngp2,NGP2,Nozzle,11,5,0.74,0.595,2.9,0.0
ngp2,NGP2,Nozzle,11,6,0.74,0.593,3.54,0.0
ngp2,NGP2,Nozzle,11,7,0.74,0.604,4.82,0.0
ngp2,NGP2,Nozzle,11,8,0.74,0.612,3.23,0.0
ngp2,NGP2,Nozzle,11,9,1.15,0.679,4.04,0.0
ngp2,NGP2,Nozzle,11,10,0.78,0.599,3.1,0.0
ngp2,NGP2,Nozzle,12,1,0.65,0.921,12.27,0.0
ngp2,NGP2,Nozzle,12,2,0.26,0.546,3.86,0.0
ngp2,NGP2,Nozzle,12,3,0.22,0.529,3.29,0.0
ngp2,NGP2,Nozzle,12,4,0.22,0.515,3.75,0.0
ngp2,NGP2,Nozzle,12,5,0.22,0.52,2.9,0.0
ngp2,NGP2,Nozzle,12,6,0.22,0.518,3.54,0.0
ngp2,NGP2,Nozzle,12,7,0.22,0.527,4.82,0.0
ngp2,NGP2,Nozzle,12,8,0.22,0.533,3.23,0.0
ngp2,NGP2,Nozzle,12,9,0.31,0.604,4.04,0.0
ngp2,NGP2,Nozzle,12,10,0.26,0.531,3.1,0.0
ngp2,NGP2,Nozzle,13,1,0.22,0.78,12.27,0.0
ngp2,NGP2,Nozzle,13,2,0.22,0.48,3.86,0.0
ngp2,NGP2,Nozzle,13,3,0.22,0.467,3.29,0.0
ngp2,NGP2,Nozzle,13,4,0.22,0.456,3.75,0.0
ngp2,NGP2,Nozzle,13,5,0.22,0.46,2.9,0.0
ngp2,NGP2,Nozzle,13,6,0.31,0.475,3.54,0.0
ngp2,NGP2,Nozzle,13,7,0.22,0.465,4.82,0.0
ngp2,NGP2,Nozzle,13,8,0.22,0.47,3.23,0.0
ngp2,NGP2,Nozzle,13,9,0.22,0.527,4.04,0.0
ngp2,NGP2,Nozzle,13,10,0.26,0.477,3.1,0.0
ngp2,NGP2,Nozzle,14,1,0.43,0.71,12.27,0.0
ngp2,NGP2,Nozzle,14,2,0.34,0.453,3.86,0.0
ngp2,NGP2,Nozzle,14,3,0.3,0.434,3.29,0.0
ngp2,NGP2,Nozzle,14,4,0.26,0.417,3.75,0.0
ngp2,NGP2,Nozzle,14,5,1.03,0.575,2.9,0.0
ngp2,NGP2,Nozzle,14,6,0.13,0.406,3.54,0.0
ngp2,NGP2,Nozzle,14,7,0.13,0.398,4.82,0.0
ngp2,NGP2,Nozzle,14,8,0.13,0.402,3.23,0.0
ngp2,NGP2,Nozzle,14,9,0.13,0.447,4.04,0.0
ngp2,NGP2,Nozzle,14,10,0.13,0.407,3.1,0.0
ngp2,NGP2,Nozzle,15,1,1.27,0.821,12.27,0.0
ngp2,NGP2,Nozzle,15,2,0.9,0.542,3.86,0.0
ngp2,NGP2,Nozzle,15,3,0.78,0.502,3.29,0.0
ngp2,NGP2,Nozzle,15,4,0.78,0.489,3.75,0.0
ngp2,NGP2,Nozzle,15,5,0.74,0.607,2.9,0.0
ngp2,NGP2,Nozzle,15,6,0.65,0.456,3.54,0.0
ngp2,NGP2,Nozzle,15,7,0.57,0.433,4.82,0.0
ngp2,NGP2,Nozzle,15,8,0.74,0.469,3.23,0.0
ngp2,NGP2,Nozzle,15,9,0.78,0.513,4.04,0.0
ngp2,NGP2,Nozzle,15,10,0.65,0.456,3.1,0.0
ngp2,NGP2,Nozzle,16,1,1.45,0.946,12.27,0.0
ngp2,NGP2,Nozzle,16,2,0.74,0.582,3.86,0.0
ngp2,NGP2,Nozzle,16,3,0.59,0.519,3.29,0.0
ngp2,NGP2,Nozzle,16,4,0.55,0.501,3.75,0.0
ngp2,NGP2,Nozzle,16,5,0.43,0.572,2.9,0.0
ngp2,NGP2,Nozzle,16,6,0.47,0.459,3.54,0.0
ngp2,NGP2,Nozzle,16,7,0.47,0.44,4.82,0.0
ngp2,NGP2,Nozzle,16,8,0.47,0.469,3.23,0.0
ngp2,NGP2,Nozzle,16,9,0.55,0.52,4.04,0.0
ngp2,NGP2,Nozzle,16,10,0.55,0.474,3.1,0.0
ngp2,NGP2,Nozzle,17,1,0.99,0.956,12.27,0.0
ngp2,NGP2,Nozzle,17,2,0.5,0.565,3.86,0.0
ngp2,NGP2,Nozzle,17,3,0.33,0.481,3.29,0.0
ngp2,NGP2,Nozzle,17,4,0.55,0.511,3.75,0.0
ngp2,NGP2,Nozzle,17,5,0.97,0.651,2.9,0.0
ngp2,NGP2,Nozzle,17,6,0.33,0.433,3.54,0.0
ngp2,NGP2,Nozzle,17,7,0.3,0.413,4.82,0.0
ngp2,NGP2,Nozzle,17,8,0.33,0.441,3.23,0.0
ngp2,NGP2,Nozzle,17,9,0.5,0.515,4.04,0.0
ngp2,NGP2,Nozzle,17,10,0.44,0.468,3.1,0.0
ngp2,NGP2,Nozzle,18,1,2.6,1.285,12.27,0.0
ngp2,NGP2,Nozzle,18,2,0.67,0.585,3.86,0.0
ngp2,NGP2,Nozzle,18,3,0.57,0.498,3.29,0.0
ngp2,NGP2,Nozzle,18,4,0.57,0.522,3.75,0.0
ngp2,NGP2,Nozzle,18,5,0.53,0.628,2.9,0.0
ngp2,NGP2,Nozzle,18,6,0.5,0.446,3.54,0.0
ngp2,NGP2,Nozzle,18,7,0.5,0.43,4.82,0.0
ngp2,NGP2,Nozzle,18,8,0.53,0.46,3.23,0.0
ngp2,NGP2,Nozzle,18,9,0.63,0.539,4.04,0.0
ngp2,NGP2,Nozzle,18,10,0.47,0.468,3.1,0.0
ngp2,NGP2,Nozzle,19,1,0.0,1.028,12.27,0.0
ngp2,NGP2,Nozzle,19,2,0.0,0.468,3.86,0.0
ngp2,NGP2,Nozzle,19,3,0.0,0.398,3.29,0.0
ngp2,NGP2,Nozzle,19,4,0.0,0.418,3.75,0.0
ngp2,NGP2,Nozzle,19,5,0.0,0.502,2.9,0.0
ngp2,NGP2,Nozzle,19,6,0.0,0.357,3.54,0.0
ngp2,NGP2,Nozzle,19,7,0.0,0.344,4.82,0.0
ngp2,NGP2,Nozzle,19,8,0.0,0.368,3.23,0.0
ngp2,NGP2,Nozzle,19,9,0.0,0.431,4.04,0.0
ngp2,NGP2,Nozzle,19,10,0.0,0.374,3.1,0.0
ngp2,NGP2,Nozzle,20,1,2.08,1.239,12.27,0.0
ngp2,NGP2,Nozzle,20,2,0.59,0.493,3.86,0.0
ngp2,NGP2,Nozzle,20,3,0.56,0.43,3.29,0.0
ngp2,NGP2,Nozzle,20,4,0.62,0.459,3.75,0.0
ngp2,NGP2,Nozzle,20,5,0.5,0.501,2.9,0.0
ngp2,NGP2,Nozzle,20,6,0.44,0.373,3.54,0.0
ngp2,NGP2,Nozzle,20,7,0.44,0.362,4.82,0.0
ngp2,NGP2,Nozzle,20,8,0.44,0.381,3.23,0.0
ngp2,NGP2,Nozzle,20,9,0.68,0.482,4.04,0.0
ngp2,NGP2,Nozzle,20,10,0.47,0.392,3.1,0.0
ngp2,NGP2,Nozzle,21,1,0.12,1.016,12.27,0.0
ngp2,NGP2,Nozzle,21,2,0.0,0.394,3.86,0.0
ngp2,NGP2,Nozzle,21,3,0.0,0.344,3.29,0.0
ngp2,NGP2,Nozzle,21,4,0.0,0.367,3.75,0.0
ngp2,NGP2,Nozzle,21,5,0.0,0.401,2.9,0.0
ngp2,NGP2,Nozzle,21,6,0.0,0.298,3.54,0.0
ngp2,NGP2,Nozzle,21,7,0.0,0.29,4.82,0.0
ngp2,NGP2,Nozzle,21,8,0.0,0.305,3.23,0.0
ngp2,NGP2,Nozzle,21,9,0.0,0.386,4.04,0.0
ngp2,NGP2,Nozzle,21,10,0.0,0.314,3.1,0.0
ngp2,NGP2,Nozzle,22,1,2.53,1.318,12.27,0.0
ngp2,NGP2,Nozzle,22,2,0.83,0.481,3.86,0.0
ngp2,NGP2,Nozzle,22,3,0.69,0.412,3.29,0.0
ngp2,NGP2,Nozzle,22,4,0.65,0.424,3.75,0.0
ngp2,NGP2,Nozzle,22,5,0.69,0.458,2.9,0.0
ngp2,NGP2,Nozzle,22,6,0.72,0.383,3.54,0.0
ngp2,NGP2,Nozzle,22,7,0.65,0.362,4.82,0.0
ngp2,NGP2,Nozzle,22,8,0.65,0.374,3.23,0.0
ngp2,NGP2,Nozzle,22,9,0.65,0.439,4.04,0.0
ngp2,NGP2,Nozzle,22,10,0.69,0.388,3.1,0.0
ngp2,NGP2,Nozzle,23,1,0.07,1.069,12.27,0.0
ngp2,NGP2,Nozzle,23,2,0.07,0.399,3.86,0.0
ngp2,NGP2,Nozzle,23,3,0.07,0.344,3.29,0.0
ngp2,NGP2,Nozzle,23,4,0.07,0.354,3.75,0.0
ngp2,NGP2,Nozzle,23,5,0.07,0.381,2.9,0.0
ngp2,NGP2,Nozzle,23,6,0.07,0.321,3.54,0.0
ngp2,NGP2,Nozzle,23,7,0.07,0.304,4.82,0.0
ngp2,NGP2,Nozzle,23,8,0.07,0.314,3.23,0.0
ngp2,NGP2,Nozzle,23,9,0.07,0.366,4.04,0.0
ngp2,NGP2,Nozzle,23,10,0.07,0.325,3.1,0.0
ngp2,NGP2,Nozzle,24,1,1.33,1.121,12.27,0.0
ngp2,NGP2,Nozzle,24,2,0.42,0.404,3.86,0.0
ngp2,NGP2,Nozzle,24,3,0.4,0.355,3.29,0.0
ngp2,NGP2,Nozzle,24,4,0.32,0.347,3.75,0.0
ngp2,NGP2,Nozzle,24,5,0.32,0.369,2.9,0.0
ngp2,NGP2,Nozzle,24,6,0.32,0.321,3.54,0.0
ngp2,NGP2,Nozzle,24,7,0.35,0.312,4.82,0.0
ngp2,NGP2,Nozzle,24,8,0.29,0.31,3.23,0.0
ngp2,NGP2,Nozzle,24,9,0.35,0.362,4.04,0.0
ngp2,NGP2,Nozzle,24,10,0.29,0.318,3.1,0.0
ngp2,NGP2,Nozzle,25,1,0.41,0.979,12.27,0.0
ngp2,NGP2,Nozzle,25,2,0.41,0.405,3.86,0.0
ngp2,NGP2,Nozzle,25,3,0.41,0.366,3.29,0.0
ngp2,NGP2,Nozzle,25,4,0.41,0.36,3.75,0.0
ngp2,NGP2,Nozzle,25,5,2.71,0.838,2.9,0.0
ngp2,NGP2,Nozzle,25,6,0.41,0.339,3.54,0.0
ngp2,NGP2,Nozzle,25,7,0.41,0.332,4.82,0.0
ngp2,NGP2,Nozzle,25,8,0.41,0.33,3.23,0.0
ngp2,NGP2,Nozzle,25,9,0.41,0.372,4.04,0.0
ngp2,NGP2,Nozzle,25,10,0.37,0.328,3.1,0.0
ngp2,NGP2,Nozzle,26,1,0.2,0.823,12.27,0.0
ngp2,NGP2,Nozzle,26,2,0.2,0.363,3.86,0.0
ngp2,NGP2,Nozzle,26,3,0.2,0.332,3.29,0.0
ngp2,NGP2,Nozzle,26,4,0.2,0.327,3.75,0.0
ngp2,NGP2,Nozzle,26,5,0.39,0.749,2.9,0.0
ngp2,NGP2,Nozzle,26,6,0.2,0.311,3.54,0.0
ngp2,NGP2,Nozzle,26,7,0.2,0.305,4.82,0.0
ngp2,NGP2,Nozzle,26,8,0.2,0.303,3.23,0.0
ngp2,NGP2,Nozzle,26,9,0.2,0.337,4.04,0.0
ngp2,NGP2,Nozzle,26,10,0.2,0.302,3.1,0.0
ngp2,NGP2,Nozzle,27,1,6.83,2.024,12.27,0.0
ngp2,NGP2,Nozzle,27,2,0.25,0.34,3.86,0.0
ngp2,NGP2,Nozzle,27,3,0.25,0.315,3.29,0.0
ngp2,NGP2,Nozzle,27,4,0.25,0.311,3.75,0.0
ngp2,NGP2,Nozzle,27,5,0.3,0.659,2.9,0.0
ngp2,NGP2,Nozzle,27,6,0.25,0.298,3.54,0.0
ngp2,NGP2,Nozzle,27,7,0.25,0.293,4.82,0.0
ngp2,NGP2,Nozzle,27,8,0.25,0.292,3.23,0.0
ngp2,NGP2,Nozzle,27,9,0.41,0.352,4.04,0.0
ngp2,NGP2,Nozzle,27,10,0.25,0.291,3.1,0.0
ngp2,NGP2,Nozzle,28,1,2.19,2.058,12.27,0.0
ngp2,NGP2,Nozzle,28,2,0.47,0.366,3.86,0.0
ngp2,NGP2,Nozzle,28,3,0.47,0.346,3.29,0.0
ngp2,NGP2,Nozzle,28,4,0.47,0.343,3.75,0.0
ngp2,NGP2,Nozzle,28,5,1.45,0.817,2.9,0.0
ngp2,NGP2,Nozzle,28,6,0.47,0.332,3.54,0.0
ngp2,NGP2,Nozzle,28,7,0.51,0.336,4.82,0.0
ngp2,NGP2,Nozzle,28,8,0.43,0.32,3.23,0.0
ngp2,NGP2,Nozzle,28,9,0.55,0.391,4.04,0.0
ngp2,NGP2,Nozzle,28,10,0.47,0.327,3.1,0.0
ngp2,NGP2,Nozzle,29,1,0.52,1.75,12.27,0.0
ngp2,NGP2,Nozzle,29,2,0.52,0.396,3.86,0.0
ngp2,NGP2,Nozzle,29,3,0.52,0.38,3.29,0.0
ngp2,NGP2,Nozzle,29,4,0.5,0.374,3.75,0.0
ngp2,NGP2,Nozzle,29,5,0.5,0.753,2.9,0.0
ngp2,NGP2,Nozzle,29,6,0.5,0.365,3.54,0.0
ngp2,NGP2,Nozzle,29,7,0.5,0.368,4.82,0.0
ngp2,NGP2,Nozzle,29,8,0.5,0.355,3.23,0.0
ngp2,NGP2,Nozzle,29,9,0.52,0.416,4.04,0.0
ngp2,NGP2,Nozzle,29,10,0.5,0.361,3.1,0.0
ngp2,NGP2,Camera,0,1,2.14,2.14,0.49,0.0
ngp2,NGP2,Camera,0,2,0.61,0.611,0.31,0.0
ngp2,NGP2,Camera,0,3,4.79,4.789,1.05,0.0
ngp2,NGP2,Camera,0,4,0.2,0.204,0.85,0.0
ngp2,NGP2,Camera,0,5,1.94,1.936,0.43,0.0
ngp2,NGP2,Camera,0,6,0.31,0.306,0.25,0.0
ngp2,NGP2,Camera,0,7,4.38,4.381,0.91,0.0
ngp2,NGP2,Camera,0,8,0.1,0.102,0.11,0.0
ngp2,NGP2,Camera,0,9,3.46,3.464,0.73,0.0
ngp2,NGP2,Camera,0,10,0.2,0.204,1.68,0.0
ngp2,NGP2,Camera,1,1,0.0,1.712,0.49,0.0
ngp2,NGP2,Camera,1,2,0.0,0.489,0.31,0.0
ngp2,NGP2,Camera,1,3,0.0,3.831,1.05,0.0
ngp2,NGP2,Camera,1,4,0.0,0.163,0.85,0.0
ngp2,NGP2,Camera,1,5,0.0,1.549,0.43,0.0
ngp2,NGP2,Camera,1,6,0.0,0.245,0.25,0.0
ngp2,NGP2,Camera,1,7,0.0,3.505,0.91,0.0
ngp2,NGP2,Camera,1,8,0.0,0.082,0.11,0.0
ngp2,NGP2,Camera,1,9,0.0,2.771,0.73,0.0
ngp2,NGP2,Camera,1,10,0.0,0.163,1.68,0.0
ngp2,NGP2,Camera,2,1,0.04,1.379,0.49,0.0
ngp2,NGP2,Camera,2,2,0.2,0.432,0.31,0.0
ngp2,NGP2,Camera,2,3,0.07,3.078,1.05,0.0
ngp2,NGP2,Camera,2,4,0.25,0.18,0.85,0.0
ngp2,NGP2,Camera,2,5,0.02,1.244,0.43,0.0
ngp2,NGP2,Camera,2,6,0.02,0.2,0.25,0.0
ngp2,NGP2,Camera,2,7,0.07,2.817,0.91,0.0
ngp2,NGP2,Camera,2,8,0.02,0.07,0.11,0.0
ngp2,NGP2,Camera,2,9,0.02,2.221,0.73,0.0
ngp2,NGP2,Camera,2,10,0.34,0.198,1.68,0.0
ngp2,NGP2,Camera,3,1,0.0,1.103,0.49,0.0
ngp2,NGP2,Camera,3,2,0.0,0.346,0.31,0.0
ngp2,NGP2,Camera,3,3,0.0,2.462,1.05,0.0
ngp2,NGP2,Camera,3,4,0.0,0.144,0.85,0.0
ngp2,NGP2,Camera,3,5,0.0,0.995,0.43,0.0
ngp2,NGP2,Camera,3,6,0.0,0.16,0.25,0.0
ngp2,NGP2,Camera,3,7,0.0,2.254,0.91,0.0
ngp2,NGP2,Camera,3,8,0.0,0.056,0.11,0.0
ngp2,NGP2,Camera,3,9,0.0,1.777,0.73,0.0
ngp2,NGP2,Camera,3,10,0.0,0.158,1.68,0.0
ngp2,NGP2,Camera,4,1,0.11,0.905,0.49,0.0
ngp2,NGP2,Camera,4,2,0.26,0.328,0.31,0.0
ngp2,NGP2,Camera,4,3,0.04,1.977,1.05,0.0
ngp2,NGP2,Camera,4,4,0.37,0.189,0.85,0.0
ngp2,NGP2,Camera,4,5,0.18,0.833,0.43,0.0
ngp2,NGP2,Camera,4,6,0.0,0.128,0.25,0.0
ngp2,NGP2,Camera,4,7,0.07,1.818,0.91,0.0
ngp2,NGP2,Camera,4,8,0.0,0.045,0.11,0.0
ngp2,NGP2,Camera,4,9,0.04,1.429,0.73,0.0
ngp2,NGP2,Camera,4,10,0.37,0.2,1.68,0.0
ngp2,NGP2,Camera,5,1,0.0,0.724,0.49,0.0
ngp2,NGP2,Camera,5,2,0.03,0.268,0.31,0.0
ngp2,NGP2,Camera,5,3,0.06,1.593,1.05,0.0
ngp2,NGP2,Camera,5,4,0.53,0.257,0.85,0.0
ngp2,NGP2,Camera,5,5,0.15,0.696,0.43,0.0
ngp2,NGP2,Camera,5,6,0.09,0.12,0.25,0.0
ngp2,NGP2,Camera,5,7,0.06,1.466,0.91,0.0
ngp2,NGP2,Camera,5,8,0.12,0.06,0.11,0.0
ngp2,NGP2,Camera,5,9,0.03,1.149,0.73,0.0
ngp2,NGP2,Camera,5,10,2.83,0.725,1.68,0.0
ngp2,NGP2,Camera,6,1,0.0,0.579,0.49,0.0
ngp2,NGP2,Camera,6,2,0.45,0.304,0.31,0.0
ngp2,NGP2,Camera,6,3,0.07,1.288,1.05,0.0
ngp2,NGP2,Camera,6,4,1.1,0.426,0.85,0.0
ngp2,NGP2,Camera,6,5,0.0,0.557,0.43,0.0
ngp2,NGP2,Camera,6,6,0.14,0.124,0.25,0.0
ngp2,NGP2,Camera,6,7,0.0,1.173,0.91,0.0
ngp2,NGP2,Camera,6,8,0.21,0.089,0.11,0.0
ngp2,NGP2,Camera,6,9,0.14,0.947,0.73,0.0
ngp2,NGP2,Camera,6,10,2.24,1.027,1.68,0.0
ngp2,NGP2,Camera,7,1,0.64,0.592,0.49,0.0
ngp2,NGP2,Camera,7,2,0.84,0.412,0.31,0.0
ngp2,NGP2,Camera,7,3,0.68,1.167,1.05,0.0
ngp2,NGP2,Camera,7,4,1.0,0.542,0.85,0.0
ngp2,NGP2,Camera,7,5,0.04,0.454,0.43,0.0
ngp2,NGP2,Camera,7,6,0.36,0.172,0.25,0.0
ngp2,NGP2,Camera,7,7,0.12,0.963,0.91,0.0
ngp2,NGP2,Camera,7,8,0.04,0.079,0.11,0.0
ngp2,NGP2,Camera,7,9,0.04,0.766,0.73,0.0
ngp2,NGP2,Camera,7,10,3.01,1.424,1.68,0.0
ngp2,NGP2,Camera,8,1,0.0,0.474,0.49,0.0
ngp2,NGP2,Camera,8,2,0.11,0.351,0.31,0.0
ngp2,NGP2,Camera,8,3,0.07,0.948,1.05,0.0
ngp2,NGP2,Camera,8,4,1.47,0.728,0.85,0.0
ngp2,NGP2,Camera,8,5,0.11,0.384,0.43,0.0
ngp2,NGP2,Camera,8,6,0.53,0.243,0.25,0.0
ngp2,NGP2,Camera,8,7,0.07,0.784,0.91,0.0
ngp2,NGP2,Camera,8,8,0.14,0.091,0.11,0.0
ngp2,NGP2,Camera,8,9,0.0,0.613,0.73,0.0
ngp2,NGP2,Camera,8,10,2.56,1.651,1.68,0.0
ngp2,NGP2,Camera,9,1,0.05,0.39,0.49,0.0
